SMA200,SMA200RATE,EMA50,EMA50RATE,RSI14,WilliamsPctR10,WilliamsPctR60,SOSC20,SOSC20RATE,CCI20,VMA200,VMA200RATE,label
0.137944952071,0.730611801749,0.0,0.0484826155958,0.00128366772292,0.0778443113772,0.74629324547,0.573645303454,0.00112339573781,0.405564030135,0.996174377946,0.468260321298,hold
0.140400246651,0.73405702717,0.0124914590802,0.0374437316109,0.00127695340776,0.113333333333,0.785483870968,0.529431219302,0.00112319220357,0.399348060938,1.0,0.470743644419,hold
0.142967655138,0.73256265732,0.0276936247798,0.0235532492428,0.00124104427733,0.0315315315315,0.827447833066,0.425003841069,0.00112210153778,0.394243655976,0.995528087571,0.479639264895,hold
0.1453220472,0.733027131432,0.045730077381,0.0,0.00152685784672,0.369369369369,0.89239046887,0.358247823221,0.00112831372873,0.38926001093,0.992790040179,0.487609716747,hold
0.148618196087,0.735060326135,0.0678831861862,0.0178559293046,0.00119781099317,0.5,0.914681014604,0.335702516414,0.00112730455866,0.389982870754,0.987495786951,0.521071409804,buy
0.152934581535,0.719371179015,0.0918452237564,0.0196162608303,0.00119705624814,0.306306306306,0.885925925926,0.335464978781,0.0011133924417,0.388519489752,0.987576862805,0.516064547522,buy
0.15707158473,0.704802229776,0.114243702107,0.014716415742,0.00136238758098,0.779279279279,0.963703703704,0.270581128118,0.00110873144936,0.386154391958,0.987379964303,0.490082066565,buy
0.161444027132,0.692863756153,0.142426274959,0.0499353758976,0.00136149910521,0.836956521739,0.966666666667,0.264377145823,0.0011814360975,0.387855485456,0.990321859556,0.417016010069,strong_buy
0.165681932844,0.67113720631,0.171310031585,0.134056101275,0.00136821476226,0.707462686567,0.927137546468,0.274282436583,0.00113439696068,0.388950703606,0.980642560885,0.36242449624,strong_buy
0.169269577891,0.641344182631,0.197868150585,0.196885761512,0.00133629766678,0.752475247525,0.942878903275,0.275901013252,0.00117339705651,0.388914946548,0.951639411667,0.376347538746,strong_buy
0.172913279892,0.616740476636,0.224808652053,0.282171780676,0.00133341395201,0.636075949367,0.912414318355,0.290030627325,0.00116667211787,0.389246296069,0.940938557244,0.37015514923,strong_buy
0.176758786928,0.585406490085,0.251263787485,0.369494626763,0.00133548966276,0.449367088608,0.867479055598,0.307243332669,0.00115454556954,0.388641066824,0.939986495079,0.338756336482,buy
0.179651325747,0.554744819152,0.27578641387,0.467284847383,0.00132944678762,0.794303797468,0.950495049505,0.270993823854,0.00120383971479,0.386818668695,0.936731878678,0.321828296135,buy
0.18375469477,0.522443279421,0.306102985359,0.537176074014,0.00132801299863,0.77033492823,0.926884996192,0.281288617736,0.00120846086722,0.38574465965,0.929855488082,0.316375126189,buy
