SMA200,SMA200RATE,EMA50,EMA50RATE,RSI14,WilliamsPctR10,WilliamsPctR60,SOSC20,SOSC20RATE,CCI20,VMA200,VMA200RATE,label
0.0,0.900628386265,0.000104227965932,0.603757908869,0.00171538631303,0.217105263158,0.593406593407,0.569399363279,0.605841383825,0.242944118075,0.912355482821,0.718905158863,hold
0.00362983389983,0.910330317459,0.0,0.597415771608,0.0056603867848,0.539473684211,0.723684210526,0.49122153299,0.605736394744,0.244696308788,0.914552924956,0.715419473766,hold
0.00838837940101,0.914968209054,0.00259001883482,0.571427249332,0.00468529146923,0.703947368421,0.775757575758,0.444597068699,0.604807816063,0.244751324215,0.91535569449,0.712921025128,hold
0.0125825691015,0.923894192654,0.00657835268161,0.525091125823,0.00502850959096,0.756578947368,0.809677419355,0.429677240125,0.609816471866,0.245002718792,0.916757511024,0.709779647033,hold
0.0168793689476,0.936234314255,0.0109171876528,0.52602722876,0.00489026723108,0.677631578947,0.796774193548,0.452056982985,0.608454886512,0.242099174821,0.918747457983,0.712046267104,sell
0.0215481305714,0.927974702175,0.0146647825694,0.523610236864,0.00483157879734,0.789473684211,0.815053763441,0.420352347267,0.609123507576,0.268623102138,0.925483465765,0.703220533295,sell
0.0272942987238,0.917850572291,0.0190820191078,0.518357823654,0.00483259682623,0.921052631579,0.836559139785,0.383052775834,0.611060382648,0.191817903724,0.928004552211,0.697933763321,sell
0.033810042968,0.903449409896,0.0249612142835,0.502379842197,0.00483680284565,0.585526315789,0.77311827957,0.540723073081,0.606009041829,0.244827667736,0.929202967285,0.692693198656,sell
0.0387481562239,0.895472781989,0.0281904364846,0.486032358793,0.0048399591476,0.792452830189,0.793548387097,0.518574189406,0.599827851538,0.244091516006,0.928732832182,0.690316168142,hold
0.0438017058937,0.886464857597,0.0321114372206,0.417253324893,0.00479028741727,0.635294117647,0.787096774194,0.527588252502,0.602468867183,0.243687172051,0.924412919091,0.690564327688,sell
0.0489963445136,0.888794618084,0.0360278260998,0.379668285844,0.00414294148848,0.521568627451,0.755913978495,0.571156224134,0.604983548619,0.239275865546,0.922649571312,0.686496016084,sell
0.0541140255243,0.884815997626,0.0392561259295,0.374491978485,0.00491688599903,0.383763837638,0.724731182796,0.614724195766,0.60414446861,0.250103180264,0.921724873277,0.681770385117,sell
0.0588597447573,0.874917216445,0.0413960275309,0.372007643068,0.00500151113356,0.555172413793,0.790746582545,0.516368556846,0.60584409362,0.244870730117,0.919997726784,0.679827904772,sell
0.0645802603732,0.865243096503,0.0467365578207,0.373635493411,0.00491455165709,0.479310344828,0.783757338552,0.548013671972,0.607655114878,0.244571877575,0.919112842137,0.678176704271,sell
0.0699801192843,0.853481730326,0.051784696383,0.397036644788,0.00480368082562,0.531034482759,0.79843444227,0.526437457114,0.605396315847,0.244686091283,0.918193120776,0.678624111064,sell
0.0761623805554,0.834328060996,0.0581057074496,0.382966203903,0.00495759297256,0.510344827586,0.792563600783,0.535067943057,0.607701320405,0.244764282699,0.914815404345,0.677560003715,sell
0.0827935612134,0.819772249955,0.0646978957019,0.395454069403,0.00488627405863,0.48275862069,0.784735812133,0.506834699876,0.608646917142,0.244889259322,0.912616276564,0.679131169186,sell
0.0891169114346,0.805201566758,0.0713352801519,0.401157067067,0.0048792907539,0.231034482759,0.713307240705,0.598652365833,0.608011644716,0.245889508666,0.909594954167,0.683434075036,sell
0.0940550246906,0.796725540828,0.0748919441928,0.424629296381,0.00489538918139,0.0311418685121,0.716242661448,0.568151199703,0.607553172156,0.244493728798,0.905932523853,0.688813309152,sell
0.0988263964599,0.784049876796,0.0793534545575,0.450939032403,0.00487880875852,0.503649635036,0.866927592955,0.357380965056,0.62015659464,0.243075675451,0.901995573811,0.694341445951,hold
0.104893221317,0.769700608956,0.0914697250042,0.47835696111,0.0048821241728,0.313868613139,0.816046966732,0.406038191458,0.616626153862,0.243401865374,0.901811115818,0.695597664979,sell
0.110857436029,0.752399023766,0.101655472153,0.552445436103,0.00488295996125,0.489051094891,0.86301369863,0.361123828625,0.615622077485,0.24297262921,0.900910899806,0.698668720695,hold
0.117309048932,0.723156360045,0.114684890265,0.58609531943,0.00489629395505,0.722602739726,0.920743639922,0.305916590977,0.621641893891,0.242074959329,0.900162151259,0.700287970269,hold
0.124709805682,0.697679470878,0.131223009107,0.579362555481,0.00736137571948,0.345744680851,0.759295499022,0.460309713214,0.608468525788,0.243113641691,0.903663642374,0.697162678119,hold
0.127403322003,0.69438400599,0.141168017326,0.588955097896,0.0046743134428,0.409574468085,0.782778864971,0.437852531798,0.608181972692,0.242066140006,0.904270475459,0.693779229747,hold
0.130725325467,0.692458234716,0.152444007445,0.580281690851,0.00476874869865,0.436170212766,0.792563600783,0.428495372874,0.609269689212,0.241572890172,0.90311885717,0.690539230024,sell
0.133765151029,0.693510066268,0.164626688631,0.578006283631,0.00502588878841,0.412234042553,0.783757338552,0.436916815906,0.605218230098,0.228694604771,0.900693611822,0.690259515518,sell
0.136792150324,0.696301269772,0.17726594365,0.52309643224,0.00477706912513,0.579069767442,0.8228962818,0.399488180212,0.606221638064,0.250252010888,0.898604532738,0.687031384164,sell
0.139678060668,0.710347736788,0.192200981034,0.488967015387,0.0048914721208,0.972093023256,0.988258317025,0.102588633002,0.593683986567,0.252774878751,0.894570216488,0.691653706163,sell
0.145514012698,0.715559089016,0.215785094847,0.449203855971,0.00488441290633,0.988372093023,0.954303931987,0.224101113225,0.429083508212,0.283354535194,0.890077805473,0.695011005131,sell
