SMA200,SMA200RATE,EMA50,EMA50RATE,RSI14,WilliamsPctR10,WilliamsPctR60,SOSC20,SOSC20RATE,CCI20,VMA200,VMA200RATE,label
0.349185660369,0.577402098269,0.573996512297,0.785710964412,0.545087593222,0.732484076433,0.59119820174,0.346568999052,0.000720709322968,0.49364003405,0.639954240101,0.478996776506,hold
0.352041799368,0.575855307001,0.576643618748,0.803749490669,0.54508141587,0.996774193548,0.769727350936,0.078564980696,0.000687492456739,0.491206134867,0.639987852995,0.486310308618,hold
0.356530017794,0.568605509983,0.582609983489,0.801977220874,0.545064793579,0.880149812734,0.634038064125,0.257390456862,0.000733395023965,0.49163476933,0.639770942199,0.514234959355,sell
0.360281533701,0.566915866028,0.585739639626,0.805481227496,0.54555973532,0.910112359551,0.650347724938,0.238057972952,0.000734059178495,0.514763762031,0.652383559884,0.445891768317,hold
0.364826421553,0.562491330066,0.589320109465,0.785765665727,0.545437349188,0.621722846442,0.493367239608,0.424133130584,0.000714639499412,0.49632104996,0.651212241584,0.429695447065,hold
0.368362593646,0.56664799305,0.589804286636,0.781276417032,0.546058916458,0.700374531835,0.536180099244,0.332807088132,0.000722264546735,0.498048952537,0.646346485358,0.440879785516,buy
0.371694755811,0.571995389918,0.591120109302,0.788780165631,0.546717025366,0.677966101695,0.481134993998,0.374542095844,0.000721988625915,0.494115740507,0.628759159307,0.535723304285,hold
0.374868243588,0.572707450776,0.591356094814,0.815771034001,0.546235424168,0.751020408163,0.530063976439,0.319629614951,0.000731027597784,0.494627094109,0.628098326492,0.549983707264,buy
0.37800772971,0.571480695573,0.592636112782,0.829649336875,0.550243461261,0.355102040816,0.332309339075,0.541567558559,0.000714910050713,0.495672064882,0.627430373704,0.509103299049,buy
0.379809817411,0.575542599242,0.589866131115,0.830889549447,0.54131616615,0.114285714286,0.212025590576,0.676560740754,0.000713407885992,0.498292336242,0.62570270405,0.467742091928,buy
0.380897870363,0.589975241278,0.584641900123,0.845968574736,0.541961873287,0.0733944954128,0.242606204601,0.642240440196,0.000713769673045,0.49717437958,0.621116613728,0.474048382461,buy
0.382053926624,0.602137156769,0.579993799277,0.857801887445,0.556642456918,0.0229357798165,0.220180420982,0.667408660605,0.0007121706807,0.472243060766,0.617547189275,0.482430122359,buy
0.383515997779,0.614438203995,0.574967307869,0.8563931139,0.54936541562,0.0582524271845,0.258915865414,0.623936279898,0.000713723567485,0.492636142461,0.616042556905,0.48026279152,buy
0.385227414401,0.628547272183,0.570687018925,0.869940805446,0.663568704188,0.233009708738,0.316853090746,0.576037264687,0.000715819798357,0.495816514304,0.614989463268,0.466959533485,buy
0.38736951865,0.638641165756,0.56809850198,0.891388347028,0.540873511658,0.373786407767,0.373225726523,0.559192781288,0.000712890865446,0.498911492579,0.610043069212,0.493648347169,buy
0.390032981605,0.641491566267,0.566776983112,0.885906000404,0.536231754503,0.752427184466,0.524848677923,0.423539711913,0.000713433897471,0.495631976264,0.602690952286,0.479445406834,strong_buy
0.393637157008,0.646698895887,0.568863420537,0.858790631484,0.529092665441,0.830508474576,0.546231401838,0.404409150847,0.000712847449281,0.495709471322,0.605002294121,0.432395840225,strong_buy
0.397059990253,0.654648156277,0.571395789205,0.824711725978,0.538715080371,0.943548387097,0.5306803299,0.482140616531,0.000711274075457,0.495317947134,0.602294220784,0.404107247595,strong_buy
0.400154140835,0.666953879289,0.573843528586,0.781254686559,0.54089795307,0.617021276596,0.357674654584,0.618753278111,0.000706595129695,0.494896969067,0.599884192816,0.378746883073,strong_buy
0.402182906235,0.681837687376,0.572653836107,0.724101605443,0.537000046601,0.574468085106,0.338235814661,0.632996581654,0.000708113869609,0.494896813213,0.601679916163,0.338352734787,strong_buy
0.404744364226,0.700906897686,0.57114352883,0.684099707972,0.541365997901,0.565957446809,0.334348046677,0.635845242363,0.000707881943679,0.494867852352,0.603015656158,0.298639812536,buy
0.407759177613,0.714941195444,0.569547778522,0.648010685,0.542189941565,0.617021276596,0.357674654584,0.618753278111,0.000709307015311,0.494747488222,0.607778917893,0.272863617761,hold
0.411193344743,0.725821996411,0.568318212629,0.631689088455,0.542325848937,0.672340425532,0.382945146484,0.600236983506,0.000708514532749,0.494610537176,0.607823459118,0.259369871243,hold
0.414854189571,0.732979343507,0.567441811262,0.618472399972,0.541585125852,0.978354978355,0.515129257961,0.503382519414,0.000708596036405,0.494884071725,0.603780142529,0.269102160279,sell
0.419297072458,0.738407931387,0.568869116739,0.596613377288,0.541806336168,0.638629283489,0.474307694123,0.533293456854,0.000708847810026,0.494403122577,0.601077698937,0.287667662753,sell
0.423785290884,0.744090820149,0.569591720652,0.572381399499,0.542078842592,0.33423180593,0.316853090746,0.648664215551,0.000706603222751,0.493498276222,0.600814094367,0.267152252186,sell
0.427140120819,0.754605859096,0.566619930685,0.547090389044,0.54289037608,0.142857142857,0.178837327292,0.765294624883,0.000707339597988,0.492812235075,0.602685819283,0.232808403935,sell
0.430052929243,0.770425725526,0.560533945702,0.543107387846,0.541683471892,0.111420612813,0.1768934433,0.868181846864,0.000707638980294,0.512157747958,0.594810963897,0.28039221346,sell
0.432727726083,0.780437165143,0.554154199444,0.556478063771,0.53979274421,0.162534435262,0.340179698654,0.724036584521,0.000709499906092,0.496783089053,0.585828538804,0.327925321754,sell
0.436864594077,0.780506507995,0.551099407676,0.576898490007,0.568653922854,0.0877659574468,0.289638714854,0.768652975246,0.00070931240754,0.495990415515,0.582481489313,0.331893582803,sell
0.440593442214,0.77555312155,0.546722283298,0.600114772569,0.540700064138,0.0957446808511,0.295470366831,0.763504930162,0.000708792864165,0.495823113674,0.580480445823,0.354508658049,sell
0.444662306899,0.769780062469,0.542365502499,0.625123105897,0.535947049592,0.303191489362,0.447093318231,0.629655757986,0.000711224996512,0.495791748032,0.578636207313,0.372725554302,sell
0.449365869139,0.761518213941,0.541159535157,0.64092086718,0.537317438695,0.13829787234,0.326572510708,0.736048689716,0.000711544290231,0.495946923863,0.575283031333,0.408809412829,hold
0.453661411522,0.75410064276,0.537089191945,0.662373881136,0.539176815899,0.0132978723404,0.235209963069,0.85246787307,0.000710848713723,0.49569432717,0.575132352841,0.441651497724,hold
0.456959572033,0.752825109254,0.530945431198,0.702397013601,0.546464213657,0.107142857143,0.519017025946,0.587854499555,0.000712201547108,0.495038961229,0.565501513491,0.514561014867,hold
